visit_date,sessions,transactions,revenue_usd
7/1/17,2048,3,84.54
7/2/17,1895,8,634.99
7/3/17,2046,15,1225.81
7/4/17,1938,7,379.98
7/5/17,2885,42,8029.36
7/6/17,2658,31,3883.85
7/7/17,2450,40,4339.02
7/8/17,1859,14,454.96
7/9/17,1921,19,751.1
7/10/17,2769,47,4718.07
7/11/17,2635,42,5369.64
7/12/17,2554,49,3149.34
7/13/17,2741,65,6098.58
7/14/17,2382,47,4228.84
7/15/17,1721,16,740.72
7/16/17,1766,28,1748.72
7/17/17,2671,53,4616.77
7/18/17,2804,51,17002.96
7/19/17,2514,57,6038.3
7/20/17,2668,41,4688.7
7/21/17,2427,42,3603.88
7/22/17,1724,18,2395
7/23/17,1966,16,2246.92
7/24/17,2436,40,4415.62
7/25/17,2631,38,5240.73
7/26/17,2725,42,4640.45
7/27/17,2529,52,4348.38
7/28/17,2433,46,4709.44
7/29/17,1597,19,1045.01
7/30/17,1799,22,2254.16
7/31/17,2620,62,11415.44
8/1/17,2556,45,8304.94
